Species	logn50	logcontigcount	logl50	logtotlen	logcoverage	gccontent
Desulfurococcaceae archaeon	4.0	2.149	1.398	6.062	1.377	0.449
Desulfuromonadaceae bacterium	4.092499999999999	2.375	1.7325	6.3365	1.108	0.5834999999999999
Desulfuromonadales bacterium	4.155	2.365	1.623	6.455	1.126	0.534
Dickeya solani	5.379	1.568	0.845	6.687	2.301	0.562
Dorea formicigenerans	5.049	1.968	1.0	6.503	2.0	0.409
Dorea longicatena	5.086	1.7955	0.903	6.501	2.0	0.414
Dothistroma septosporum	5.788	2.553	1.2029999999999998	7.483499999999999	2.0	0.53
Ectothiorhodospiraceae bacterium	4.051	2.474	1.908	6.399	1.209	0.635
Edwardsiella piscicida	5.772	1.204	0.301	6.576	2.053	0.597
Edwardsiella tarda	5.399	1.4809999999999999	0.7525	6.5705	2.17	0.572
Eggerthella lenta	5.081	1.799	1.0	6.538	1.87	0.642
Eggerthellaceae bacterium	4.108	2.312	1.699	6.245	1.079	0.58
Eikenella corrodens	4.868	1.8054999999999999	0.9974999999999999	6.353	2.1390000000000002	0.557
Elizabethkingia anophelis	5.627000000000001	1.5965	0.602	6.6075	2.0	0.355
Elizabethkingia meningoseptica	5.6485	1.279	0.602	6.596	2.0	0.364
Elizabethkingia miricola	5.729	1.38	0.602	6.632	2.0	0.359
Elusimicrobia bacterium	3.899	2.344	1.748	6.168	1.0	0.44
Enhydrobacter aerosaccus	4.233499999999999	2.725	1.9615	6.71	0.0	0.655
Ensifer adhaerens	5.378	1.914	1.0	6.856	1.93	0.623
Enterobacter asburiae	5.174	2.013	1.041	6.691	2.024	0.556
Enterobacter bugandensis	5.618	1.562	0.5395	6.689	2.301	0.559
Enterobacter cancerogenus	5.423500000000001	1.7029999999999998	0.8115	6.6884999999999994	2.0	0.556
Enterobacter cloacae	5.135	2.0229999999999997	1.079	6.701	1.9889999999999999	0.549
Enterobacter hormaechei	5.284000000000001	1.9465	0.954	6.6955	2.0395	0.551
Enterobacter kobei	5.1955	1.9929999999999999	1.0	6.699	2.0185	0.5485
Enterobacter ludwigii	5.515000000000001	1.672	0.7384999999999999	6.685499999999999	1.915	0.545
Enterobacter roggenkampii	5.149	2.079	1.079	6.703	2.133	0.5575000000000001
Enterocloster clostridioformis	4.904	2.274	1.342	6.732	2.0	0.49
Enterococcus avium	4.8885000000000005	2.17	1.2525	6.632	1.8125	0.39
Enterococcus casseliflavus	5.28	1.671	0.8115	6.5535	2.0	0.4255
Enterococcus cecorum	4.9265	1.8295	0.954	6.37	1.9865	0.364
Enterococcus durans	4.816000000000001	2.004	1.161	6.48	2.1959999999999997	0.377
Enterococcus faecalis	5.196	1.839	0.778	6.47	1.748	0.374
Enterococcus faecium	4.643	2.276	1.301	6.459	1.771	0.379
Enterococcus gallinarum	5.43	1.58	0.699	6.537	1.944	0.404
Enterococcus hirae	5.372	1.398	0.6505	6.454	2.1189999999999998	0.369
Enterococcus mundtii	5.023	1.911	1.0394999999999999	6.5169999999999995	1.8315000000000001	0.3835
Epibacterium mobile	5.352	1.813	0.845	6.68	2.0065	0.589
Epsilonproteobacteria bacterium	3.942	2.301	1.7355	6.161	1.4344999999999999	0.38
Epulopiscium sp.	4.390499999999999	2.34	1.4855	6.344	2.5775	0.3465
Erwinia amylovora	5.589	1.663	0.477	6.58	2.0	0.535
Erysipelothrix sp.	4.141	2.164	1.398	6.095	2.16	0.353
Erysipelotrichaceae bacterium	4.272	2.1425	1.3885	6.273	1.4285	0.3625
Erysipelotrichia bacterium	3.9204999999999997	2.314	1.7195	6.179	1.8525	0.329
Erythrobacter sp.	4.359	2.2555	1.633	6.435499999999999	1.024	0.6295
Escherichia albertii	5.014	2.201	1.176	6.677	1.908	0.497
Escherichia coli	5.062	2.274	1.176	6.721	1.902	0.505
Escherichia fergusonii	5.429	1.826	0.778	6.676	2.121	0.499
Escherichia marmotae	5.3	1.839	0.845	6.667	2.059	0.504
Eubacterium rectale	5.019500000000001	2.083	1.079	6.4665	2.0	0.418
Eubacterium sp.	4.5954999999999995	2.0305	1.267	6.297499999999999	1.0965	0.415
Euryarchaeota archaeon	4.433	1.82	1.23	6.147	-1.0	0.469
Faecalibacterium prausnitzii	4.73	1.982	1.146	6.379	1.544	0.578
Faecalibacterium sp.	4.353	2.17	1.519	6.341	1.693	0.599
Ferruginibacter sp.	3.962	2.754	2.161	6.567	1.301	0.407
Fibrobacter sp.	4.324	2.5225	1.771	6.644500000000001	2.4605	0.406
Finegoldia magna	5.105	1.5675	0.699	6.276	2.0	0.319
Firmicutes bacterium	4.181	2.299	1.602	6.31	1.825	0.504
Flammeovirgaceae bacterium	4.357	1.869	1.362	6.157	-1.0	0.362
Flavobacteriaceae bacterium	4.3835	1.919	1.301	6.25	-1.0	0.3345
Flavobacteriales bacterium	4.418	1.792	1.204	6.195	-1.0	0.331
Flavobacteriia bacterium	4.036	2.497	1.778	6.27	0.8354999999999999	0.437
Flavobacterium columnare	4.7985	2.11	1.2425	6.52	2.2855	0.306
Flavobacterium psychrophilum	4.974	2.045	1.041	6.436	1.903	0.324
Flavobacterium sp.	4.2605	2.3810000000000002	1.748	6.5125	1.204	0.354
Francisella tularensis	4.431	2.0	1.362	6.253	2.093	0.322
Fusarium oxysporum	4.8705	3.69	2.2695	7.704	1.672	0.478
Fusicatenibacter saccharivorans	4.687	2.167	1.279	6.505	1.949	0.486
Fusobacterium necrophorum	5.144	1.748	0.778	6.33	1.778	0.351
Fusobacterium nucleatum	4.885	1.9085	1.0205	6.3705	1.9645000000000001	0.27
Gallibacterium anatis	4.7219999999999995	1.9615	1.146	6.398	1.8889999999999998	0.398
Gammaproteobacteria bacterium	4.16	2.338	1.672	6.3475	0.905	0.5175000000000001
Gardnerella vaginalis	5.605499999999999	1.06	0.301	6.2135	1.6715	0.4185
Gemmataceae bacterium	4.378	2.348	1.708	6.603	1.0	0.594
Gemmatimonadaceae bacterium	4.214499999999999	2.5105	1.823	6.571	1.1865	0.676
Gemmatimonadales bacterium	3.8185000000000002	2.602	2.007	6.455500000000001	1.0085	0.6765000000000001
Gemmatimonadetes bacterium	4.134499999999999	2.5025000000000004	1.799	6.467	1.0	0.663
