Species	logn50	logcontigcount	logl50	logtotlen	logcoverage	gccontent
Aerococcus urinae	5.0	1.736	0.845	6.289	1.7080000000000002	0.4245	
Aeromonas caviae	4.926	2.283	1.279	6.654	2.0	0.614	
Aeromonas hydrophila	5.3395	1.6675	0.903	6.6945	1.914	0.611	
Aeromonas salmonicida	5.008	2.086	1.176	6.682	1.822	0.584	
Aeromonas veronii	5.274	1.806	0.954	6.67	1.851	0.586	
Agathobacter sp.	4.622	2.093	1.301	6.424	1.18	0.425	
Aggregatibacter actinomycetemcomitans	4.8835	1.8415	0.977	6.3215	1.987	0.444	
Aggregatibacter aphrophilus	5.6075	1.387	0.301	6.369	1.525	0.42200000000000004	
Agrobacterium rhizogenes	5.726	1.6855	0.602	6.848	1.854	0.599	
Agrobacterium tumefaciens	5.669	1.531	0.602	6.751	1.94	0.593	
Agrobacterium vitis	5.574	1.8479999999999999	0.778	6.7755	1.874	0.5760000000000001	
Akkermansia muciniphila	5.336	1.462	0.699	6.443	1.916	0.557	
Akkermansiaceae bacterium	4.144	2.778	2.061	6.668	0.0	0.588	
Alcaligenaceae bacterium	4.461	2.196	1.505	6.446	2.237	0.531	
Alcaligenes faecalis	5.542	1.491	0.602	6.636	2.255	0.568	
Alcanivorax sp.	4.682	1.978	1.342	6.552	-1.0	0.626	
Aliivibrio finisterrensis	5.036	2.111	1.114	6.626	2.158	0.389	
Aliivibrio fischeri	5.302	1.857	0.903	6.632	2.0	0.382	
Alkalihalobacillus clausii	5.147	1.968	1.0	6.632	2.1005	0.446	
Alteromonadaceae bacterium	4.922	1.875	1.176	6.638	-1.0	0.488	
Alteromonas macleodii	5.672	1.643	0.477	6.683	2.0	0.446	
Alteromonas sp.	4.42	2.097	1.568	6.509	-1.0	0.44799999999999995	
Anaerolineaceae bacterium	4.407	2.173	1.556	6.444	1.163	0.53	
Anaerolineae bacterium	3.86	2.669	2.093	6.481	1.176	0.594	
Anaerolineales bacterium	4.047	2.534	2.049	6.454	1.041	0.525	
